CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE
201210718791	3	223.85142	1	4	4	3	1	1	0	7	12	20	14	0	2	0	35	43	4	2006	3N1CB51D36L6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	8	8	12	0	0	0
201210718791	4	223.85142	1	4	4	3	1	1	0	7	12	20	14	0	2	0	99	999	99	9999	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	8	8	12	0	0	0
201210718827	2	4.783283	1	1	10	3	1	1	0	7	4	35	14	0	2	0	6	442	20	2000	2C4GJ45R1YR4	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	8	8	12	0	0	0
201210718846	2	101.11004	1	6	7	3	1	1	0	7	9	25	14	0	2	0	37	421	15	2012	5FNYF4H54CB0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	8	12	0	0	0
201210718893	2	14.573372	1	2	21	3	1	1	0	7	22	20	8	0	2	0	99	884	78	9999	888888888888	9	77	777777777	77777777777	8	19	98	1	0	0	0	0	0	0	0	99	8	8	8	0	0	0
201210719197	2	101.57432	1	6	3	3	1	1	0	7	6	0	14	0	2	0	99	999	99	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	8	12	0	0	0
201210719424	1	223.466985	1	4	8	3	1	1	0	7	13	35	14	0	3	0	12	461	22	2006	1FMRE11W96HA	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210719623	2	50.78716	1	5	3	3	1	1	0	7	15	40	14	0	2	0	35	47	4	2007	1N4AL21E67C1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	8	12	0	0	0
201210719623	3	50.78716	1	5	3	3	1	1	0	7	15	40	14	0	2	0	53	405	14	2005	JS3TY92V9541	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	8	12	0	0	0
201210719650	2	223.463504	1	4	3	3	1	1	0	8	19	50	14	0	2	0	52	401	14	2003	JA4MT21H83J0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	8	12	0	0	0
201210719700	3	102.013604	1	6	21	3	1	2	0	8	17	20	12	6	2	0	59	32	4	1991	JT8UF11E1M00	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	8	12	0	0	0
201210719719	2	224.172	1	4	1	3	1	1	1	8	17	25	14	0	2	0	32	401	14	2010	WA1LYAFE4AD0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210719807	1	224.814301	1	4	10	3	1	1	0	8	20	30	14	0	2	0	12	401	14	2001	1FMYU70E01UB	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	61	8	8	12	0	0	0
